Id;RowState;InsDate;InsUserId;UpdDate;UpdUserId;BrandId;Descr;ExtendedDescr;ProductTypeId;TyTypeId;TySeasonId;TyManufactureTypeId;WhSpokes;WhManufactureTypeId;WhManufacturePieces
27;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|60,1+CL14/54) BULLONE M14X1,50 CONICO CH 17 + RING 72,2 | 60,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
28;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|60,1+CR12/50) BULLONE M12X1,50 CONICO CH 17 + RING 72,2 | 60,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
29;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|60,1+DN12/25) DADO M12X1,25 CONICO CH 19 + RING 72,2 | 60,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
30;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|60,1+DT12/50) DADO M12X1,50 CONICO CH 21 + RING 72,2 | 60,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
31;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|63,4+CD14/50) BULLONE M14X1,50 CONICO CH 19 + RING 72,2 | 63,4;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
32;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|63,4+CN14/50) BULLONE M14X1.50 CONICO 28 CH 17 + RING 72,2 | 63,4;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
33;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|63,4+DN12/50) DADO M12X1,50 CONICO CH 19 + RING 72,2 | 63,4;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
34;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|63,4+DN14/50) DADO M14X1,50 CONICO CH 19 + RING 72,2 | 63,4;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
35;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|64,1+DN12/50) DADO M12X1,50 CONICO CH 19 + RING 72,2 | 64,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
36;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|65,1+CC12/25) BULLONE M12X1,25 CONICO CH 17 + RING 72,2 | 65,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
37;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|65,1+CD14/50) BULLONE M14X1,50 CONICO CH 19 + RING 72,2 | 65,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
38;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|65,1+CN14/50) BULLONE M14X1.50 CONICO 28 CH 17 + RING 72,2 | 65,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
39;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|65,1+CR12/75) BULLONE M12X1,75 CONICO CH 19 + RING 72,2 | 65,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
40;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|65,1+DN12/50) DADO M12X1,50 CONICO CH 19 + RING 72,2 | 65,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
41;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|65,1+DN14/50) DADO M14X1,50 CONICO CH 19 + RING 72,2 | 65,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
42;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|65,1+DT12/50) DADO M12X1,50 CONICO CH 21 + RING 72,2 | 65,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
43;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|66,1+CF12/50) BULLONE M12X1,50 CONICO CH 17 + RING 72,2 | 66,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
44;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|66,1+CL14/54) BULLONE M14X1,50 CONICO CH 17 + RING 72,2 | 66,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
45;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|66,1+CR12/50) BULLONE M12X1,50 CONICO CH 17 + RING 72,2 | 66,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
46;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|66,1+DN12/25) DADO M12X1,25 CONICO CH 19 + RING 72,2 | 66,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
47;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|66,6+CF14/50) BULLONE M14X1,50 CONICO CH 17 + RING 72,2 | 66,6;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
48;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|66,6+CL14/54) BULLONE M14X1,50 CONICO CH 17 + RING 72,2 | 66,6;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
49;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|66,6+CM14/25) BULLONE M14X1,25 CONICO CH 17 + RING 72,2 | 66,6;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
50;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|66,6+CR12/50) BULLONE M12X1,50 CONICO CH 17 + RING 72,2 | 66,6;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
51;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|67,1+DN12/50) DADO M12X1,50 CONICO CH 19 + RING 72,2 | 67,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
52;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(72,2|67,1+DT12/50) DADO M12X1,50 CONICO CH 21 + RING 72,2 | 67,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
53;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|57,1+CD14/50) BULLONE M14X1,50 CONICO CH 19 + RING 79,5 | 57,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
54;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|57,1+CF14/50) BULLONE M14X1,50 CONICO CH 17 + RING 79,5 | 57,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
55;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|57,1+CL14/54) BULLONE M14X1,50 CONICO CH 17 + RING 79,5 | 57,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
56;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|65,1+ACL14/54) BULLONE M14X1,50 CONICO CH 17 + RING 79,5 | 65,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
57;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|65,1+ACO12/25) BULLONE M12X1,25 CONICO CH 17 + RING 79,5 | 65,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
58;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|65,1+CP12/50) BULLONE M12X1,50 CONICO CH 17 + RING 79,5 | 65,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
59;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|66,45+CL14/54) BULLONE M14X1,50 CONICO CH 17 + RING 79,5 | 66,45;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
